feature,importance_mean,importance_std
CO AVG,0.19420510568438584,0.013377871687874293
crop,0.11080289517042616,0.0071021076977590275
CO sfc conc,0.0670452414194799,0.005769468707491705
ch4 day ,0.046416827431327724,0.003918968337253626
PM2.5 (μgm-3),0.04624920797636779,0.005549547713775686
AVG,0.04105060210724677,0.003034143769015521
AOD,0.03303010728959669,0.0035403293178720057
CH4,0.032584326016793376,0.0017071930131281083
region,0.025003179449804923,0.0032527786388065003
NIGHT,0.020602288961195748,0.003138583450773858
Ozone sfc mass conc.,0.019558831821864055,0.005677309198725665
CH4 AVG,0.017346441953841808,0.001311818009099128
CO surface mass concentration,0.016712741773756423,0.001211536674456275
so2 μgm-3,0.016058469964885635,0.0022260363912832122
ch4 night ,0.015958413081710955,0.0017405055568576182
mm/day,0.014104565364427158,0.001383264829842997
 shortwave radiation,0.01059147161604701,0.0011620226466015678
Net Downward Shortwave radiation,0.010424338199292938,0.0011702316462423445
total column o3 DU,0.010130163144782944,0.001437542650182
so2 conc,0.009789475179800023,0.000766272715602997
SO2 column DU,0.008144049015125877,0.001183302921526453
ch4 day,0.007844826915836722,0.0010585160436612125
Ozone 1 deg.,0.0078002281348638625,0.0014641166269354642
Net SW Land,0.005627297453401426,0.0007513496194977186
pm2.5  μgm-3,0.005593243910576496,0.0013097071672551104
Net SW Land WM-2,0.004945727745248818,0.0006015796405073834
DAY,0.004356447709413546,0.0005652435346020782
Net DW SW Wm-2,0.004190251070427575,0.00045677756181696313
total column ozone dobson,0.00366765782049977,0.00031890591266826857
CO_Day,0.0032136985559263363,0.0007976369522766719
90%TILE PRECIPITATION (mm/DAY),0.0027748335846385142,0.00011060621573535995
 Radiation,0.0027712263958984407,0.00019830851720494894
CO night ,0.0025197227810260904,0.00044650775547630696
SO2 Sfc ms cnc,0.002514520542113885,0.0002149600948780962
Aod,0.002450221172695799,0.0004938615756775939
pm2.5,0.0024177037865665274,0.00015021461169422419
SO2 column amount,0.00238337275182523,0.0003839652514643989
total o3 column,0.0023399018008510184,0.00043016632051076073
O3_total column o3 DU,0.0023205579400074837,0.0007536716639266927
O3 sfc mass conc.,0.0021886072722917095,0.0006448408553363842
pm2.5 μgm-3,0.001493976189794044,0.000467823427537388
ch4 NIGHT,0.0009409886326343098,0.00036610045906045415
Ozone 0.25,0.0008433234688145274,0.0001464530264037923
CO Day,0.0004929624230683771,0.00010649221314741471
CO surface concentration,0.00047259921430309326,7.000699780686935e-05
CO night,0.00045380378984567483,6.95976392239923e-05
CO_Night,0.00039452790024293585,6.479125469163627e-05
CO ppbv,0.00037983291208285583,0.00016250472136035348
Ozone 0.25 ,0.00034021453765751273,0.00018096092022488894
ch4 ,0.00026700639839408733,7.547016325216875e-05
Day O3,0.00016855164246134535,4.4424315874120073e-05
co Avg,0.0001651697979026978,3.605402994653133e-05
CH4 ,0.00012334307464599846,1.3387911340580186e-05
O3 AVG,7.782130336765336e-05,2.8696983576437244e-06
90%TILE PRECIPITATION ,5.553621615613791e-05,4.668853777055095e-05
CO Day ppbv,5.5287794263136904e-05,3.263484998239363e-07
O3 total column 0.25 deg,4.92492177367243e-05,2.8725974464514205e-05
O3 total column 1 deg,6.728662332577962e-06,7.204554735390857e-06
